Auction Date,Technology,Production Period,Volume Offered (MWh),Volume Sold (MWh),Marginal Price (€/MWh),Number of Buyers
30/03/2022,Hydro,Nov-21,"255,057","255,057",0.78,5
30/03/2022,Thermal,Aug-21 and Sep-21,"344,228","344,228",0.65,3
30/03/2022,Thermal,Nov-21,"309,049","309,049",0.71,4
30/03/2022,Thermal,Other Months,"8,285","8,285",0.82,1
27/04/2022,Solar,Dec-21,"15,775","15,775",0.97,2
27/04/2022,Solar,Jan-22,"9,792","9,792",1.75,2
27/04/2022,Wind,Dec-21,"1,294,017","1,294,017",0.71,7
27/04/2022,Wind,Jan-22,"383,053","383,053",1.55,7
27/04/2022,Hydro,Dec-21,"219,551","219,551",0.74,6
27/04/2022,Hydro,Jan-22,"92,405","92,405",1.6,3
27/04/2022,Thermal,Dec-21,"224,184","224,184",0.7,6
27/04/2022,Thermal,Jan-22,"84,084","84,084",1.51,5
26/05/2022,Solar,Dec-21,"6,760","6,760",1.35,3
26/05/2022,Solar,Jan-22 and Feb-22,"54,805","54,805",1.95,2
26/05/2022,Wind,Dec-21,"554,578","554,578",0.9,7
26/05/2022,Wind,Jan-22 and Feb-22,"1,780,117","1,780,117",1.76,10
26/05/2022,Hydro,Dec-21,"94,093","94,093",0.95,3
26/05/2022,Hydro,Jan-22 and Feb-22,"311,383","311,383",1.8,5
26/05/2022,Thermal,Dec-21,"96,079","96,079",0.9,3
26/05/2022,Thermal,Jan-22 and Feb-22,"362,526","362,526",1.74,6
13/07/2022,Solar,Mar-22,"29,136","29,136",2.02,3
13/07/2022,Solar,Apr-22,"41,569","41,569",2.3,2
13/07/2022,Wind,Mar-22,"1,486,639","1,486,639",2.1,6
13/07/2022,Wind,Apr-22,"1,140,745","1,140,745",2.1,5
13/07/2022,Hydro,Mar-22,"257,608","257,608",2.09,8
13/07/2022,Hydro,Apr-22,"234,788","234,788",2.12,7
13/07/2022,Thermal,Mar-22,"162,933","162,933",2.05,4
13/07/2022,Thermal,Apr-22,"151,219","151,219",2.05,4
14/09/2022,Solar,May-22 and Jun-22,"92,387","92,387",3.61,6
14/09/2022,Solar,Jul-22,"49,166","49,166",3.75,4
14/09/2022,Wind,May-22 and Jun-22,"1,623,035","1,623,035",3.8,5
14/09/2022,Wind,Jul-22,"741,095","741,095",3.85,5
14/09/2022,Hydro,May-22 and Jun-22,"267,853","267,853",3.75,4
14/09/2022,Hydro,Jul-22,"77,461","77,461",3.8,5
14/09/2022,Thermal,May-22 and Jun-22,"281,816","281,816",3.6,4
14/09/2022,Thermal,Jul-22,"161,211","161,211",3.6,4
07/12/2022,Solar,Jul-22 and Aug-22,"49,707","49,707",7,6
07/12/2022,Solar,Sep-22 and Oct-22,"69,571","69,571",7.16,5
07/12/2022,Wind,Jul-22 and Aug-22,"728,856","728,856",9.05,4
07/12/2022,Wind,Sep-22 and Oct-22,"2,037,408","2,037,408",7.25,11
07/12/2022,Hydro,Jul-22 and Aug-22,"65,159","65,159",8.15,4
07/12/2022,Hydro,Sep-22 and Oct-22,"221,205","221,205",8.16,4
07/12/2022,Thermal,Jul-22 and Aug-22,"175,492","175,492",5.12,10
07/12/2022,Thermal,Sep-22 and Oct-22,"298,124","298,124",5,10
08/02/2023,Solar,Nov-22 and Dec-22,"35,693","35,693",5.06,3
08/02/2023,Wind,Nov-22 and Dec-22,"2,476,952","2,476,952",5.04,13
08/02/2023,Hydro,Nov-22 and Dec-22,"1,168,254","1,168,254",4.81,7
08/02/2023,Thermal,Nov-22 and Dec-22,"253,482","253,482",5.05,5
08/02/2023,All Technologies,Other Months,"92,185","92,185",5.05,7
12/04/2023,Solar,Jan-23,"28,339","28,339",7.65,3
12/04/2023,Wind,Jan-23,"1,409,620","1,409,620",7,15
12/04/2023,Hydro,Jan-23,"1,212,871","1,212,871",7.2,9
12/04/2023,Thermal,Jan-23,"154,423","154,423",6.87,7
12/04/2023,All Technologies,2022,"711,642","711,642",6.23,7
14/06/2023,Solar,Feb-23 and Mar-23,"59,447","59,447",6.51,5
14/06/2023,Wind,Feb-23 and Mar-23,"2,084,817","2,084,817",6.21,16
14/06/2023,Hydro,"Jan-23, Feb-23, and Mar-23","812,507","812,507",6.35,10
14/06/2023,Thermal,Feb-23 and Mar-23,"292,148","292,148",6.26,8
09/08/2023,Solar,"Mar-23, Apr-23, and May-23","99,844","99,844",6,8
09/08/2023,Wind,"Mar-23, Apr-23, and May-23","2,128,906","2,128,906",5.96,17
09/08/2023,Hydro,"Mar-23, Apr-23, and May-23","369,883","369,883",6.02,10
09/08/2023,Thermal,"Mar-23, Apr-23, and May-23","333,491","333,491",6.01,7
11/10/2023,Solar,"Jun-23, Jul-23, and Aug-23","118,744","118,744",4.32,8
11/10/2023,Wind,"Jun-23, Jul-23, and Aug-23","1,987,850","1,987,850",4.22,13
11/10/2023,Hydro,"Jun-23, Jul-23, and Aug-23","454,466","454,466",4.21,12
11/10/2023,Thermal,"Jun-23, Jul-23, and Aug-23","433,793","433,793",4.22,9
11/10/2023,Other Technologies,May-23,"27,993","27,993",4.11,4
05/12/2023,Solar,"Aug-23, Sep-23, and Oct-23","86,849","86,849",3.11,7
05/12/2023,Wind,"Aug-23, Sep-23, and Oct-23","1,850,682","1,850,682",3.26,14
05/12/2023,Hydro,"Aug-23, Sep-23, and Oct-23","703,127","703,127",3.4,8
05/12/2023,Thermal,"Aug-23, Sep-23, and Oct-23","489,690","489,690",3.14,11
05/12/2023,Various Technologies,"Jun-23, Jul-23","45,617","45,617",3.07,5
10/01/2024,Solar,Nov-23,"22,781","22,781",2.71,4
10/01/2024,Wind,Oct-23 and Nov-23,"2,013,140","2,013,140",2.51,20
10/01/2024,Hydro,Oct-23 and Nov-23,"963,072","963,072",2.5,14
10/01/2024,Thermal,Oct-23 and Nov-23,"198,376","198,376",2.57,7
06/03/2024,Solar,Dec-23,"20,039","20,039",1.2,2
06/03/2024,Wind,Nov-23 and Dec-23,"1,166,679","1,166,679",1.2,4
06/03/2024,Wind,Jan-24,"474,722","474,722",1.74,3
06/03/2024,Hydro,Nov-23 and Dec-23,"811,559","811,559",1.03,5
06/03/2024,Hydro,Jan-24,"383,199","383,199",1.65,6
06/03/2024,Thermal,Nov-23 and Dec-23,"262,914","262,914",0.82,8
08/05/2024,Solar,Jan-24 and Feb-24,"37,042","37,042",0.95,7
08/05/2024,Wind,Jan-24 and Feb-24,"2,048,160","2,048,160",0.9,19
08/05/2024,Hydro,Jan-24 and Feb-24,"1,259,932","1,259,932",0.87,14
08/05/2024,Thermal,Jan-24 and Feb-24,"441,569","441,569",0.91,8
08/05/2024,Wind/Hydro,2023,"13,068","13,068",0.87,2
10/07/2024,Solar,"Feb-24, Mar-24, and Apr-24","35,289","35,289",0.93,5
10/07/2024,Wind,"Feb-24, Mar-24, and Apr-24","2,157,135","2,157,135",0.87,24
10/07/2024,Hydro,"Feb-24, Mar-24, and Apr-24","1,472,121","1,472,121",0.87,19
10/07/2024,Thermal,"Feb-24, Mar-24, and Apr-24","321,836","321,836",0.88,8
10/07/2024,Solar/Hydro,2023,127,127,1.25,2
11/09/2024,Solar,Apr-24 and May-24,"55,141","55,141",0.6,7
11/09/2024,Wind,Apr-24 and May-24,"1,726,717","1,726,717",0.63,11
11/09/2024,Hydro,Apr-24 and May-24,"955,055","955,055",0.62,9
11/09/2024,Thermal,Apr-24 and May-24,"446,218","446,218",0.58,8
11/09/2024,Thermal,"Jan-24, Feb-24, and Mar-24","14,226","14,226",0.75,2
11/09/2024,Thermal,2023,"4,520","4,520",0.75,1
13/11/2024,Solar,"Jun-24, Jul-24, and Aug-24","116,840","116,840",0.3,8
13/11/2024,Wind,"Jun-24, Jul-24, and Aug-24","2,285,491","2,285,491",0.32,15
13/11/2024,Hydro,"Jun-24, Jul-24, and Aug-24","757,743","757,743",0.3,16
13/11/2024,Thermal,"Jun-24, Jul-24, and Aug-24","686,364","686,364",0.28,14
